COMPOUND_ID,NAME_FOOD_DB,NEW_SMILES,FLAVOR_ID,NAME_FLAVOR,FLAVOR_GROUP
18145,3-Methylbutyl octanoate,CCCCCCCC(=O)OCCC(C)C,75.0,coconut,fruity
18362,"3,6-Dimethyl-2(3H)-benzofuranone",Cc1ccc2c(C)c(O)oc2c1,75.0,coconut,fruity
18365,7-Hexyl-2-oxepanone,CCCCCCC1CCCCC(=O)O1,83.0,peach,fruity
18366,Ethyl 2-(methyldithio)propionate,CCOC(=O)C(C)SSC,81.0,fruity,fruity
18367,(E)-2-(2-Octenyl)cyclopentanone,CCCCCC=CCC1CCCC1=O,81.0,fruity,fruity
18377,5Z-Octenyl propanoate,CCC=CCCCCOC(=O)CC,69.0,apple,fruity
18378,3-Methylbutyl decanoate,CCCCCCCCCC(=O)OCCC(C)C,71.0,banana,fruity
18434,3-Mercaptohexyl hexanoate,CCCCCC(=O)OCCC(S)CCC,81.0,fruity,fruity
18444,Citronellyl isovalerate,CC(C)=CCCC(C)CCOC(=O)CC(C)C,69.0,apple,fruity
18448,Citronellyl hexanoate,CCCCCC(=O)OCCC(C)CCC=C(C)C,81.0,fruity,fruity
18455,Ethyl tiglate,CC=C(C)C(=O)OCC,88.0,raspberry,fruity
18606,Pentyl acetate,CCCCCOC(C)=O,71.0,banana,fruity
18754,Hexyl 2-methylbutanoate,CCCCCCOC(=O)C(C)CC,89.0,strawberry,fruity
18755,Butyl 2-methylbutanoate,CCCCOC(=O)C(C)CC,81.0,fruity,fruity
18756,Isopropyl 2-methylbutanoate,CCC(C)C(=O)OC(C)C,81.0,fruity,fruity
18757,2-Methylbutyl 2-methylbutanoate,CCC(C)COC(=O)C(C)CC,81.0,fruity,fruity
18758,1-Methylbutyl butanoate,CCCC(=O)OC(C)CCC,81.0,fruity,fruity
18759,Ethyl 4-decenoate,CCCCCC=CCCC(=O)OCC,81.0,fruity,fruity
18767,3-Mercapto-3-methyl-1-butyl acetate,CC(=O)OCCC(C)(C)S,81.0,fruity,fruity
19069,7-Methyl-3-octen-2-one,CC(=O)C=CCCC(C)C,81.0,fruity,fruity
19076,S-Methyl hexanethioate,CCCCCC(=O)SC,81.0,fruity,fruity
19078,Allyl thiohexanoate,C=CCSC(=O)CCCCC,81.0,fruity,fruity
19222,"(2E,4E)-2,4-Dodecadienal",CCCCCCC=CC=CCC=O,78.0,grapefruit,fruity
19253,Propyl butyrate,CCCOC(=O)CCC,85.0,pineapple,fruity
19254,Isopropyl butyrate,CCCC(=O)OC(C)C,81.0,fruity,fruity
19255,Butyl butyrate,CCCCOC(=O)CCC,69.0,apple,fruity
19352,1-Acetylcyclohexyl acetate,CC(=O)OC1(C(C)=O)CCCCC1,81.0,fruity,fruity
19425,(Z)-5-Octenal,CCC=CCCCC=O,81.0,fruity,fruity
19426,Cyclopentanethiol,SC1CCCC1,81.0,fruity,fruity
19451,Methyl 4Z-octenoate,CCCC=CCCC(=O)OC,85.0,pineapple,fruity
19452,Ethyl 4Z-octenoate,CCCC=CCCC(=O)OCC,85.0,pineapple,fruity
19460,"4,4alpha,5,6-Tetrahydro-7-methyl-2(3H)-naphthalenone",CC1=CC2=C(CCC(=O)C2)CC1,75.0,coconut,fruity
19477,"2,4-Dimethyl-2-pentenoic acid",CC(=CC(C)C)C(=O)O,81.0,fruity,fruity
19517,1-Decen-3-ol,C=CC(O)CCCCCCC,81.0,fruity,fruity
19539,2-Naphthyl anthranilate,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,77.0,grape,fruity
19540,Furfuryl isovalerate,CC(C)CC(=O)OCc1ccco1,72.0,berry,fruity
19783,"2,5-Diethyl-4-propylthiazole",CCCc1nc(CC)sc1CC,81.0,fruity,fruity
19857,3-Mercaptohexanol,CCCC(S)CCO,81.0,fruity,fruity
19870,3-Methylbutyl 2-methylbutanoate,CCC(C)C(=O)OCCC(C)C,81.0,fruity,fruity
19871,Hexyl 2-methyl-3-pentenoate,CC=CC(C)C(=O)OCCCCCC,81.0,fruity,fruity
19881,Butyl levulinate,CCCCOC(=O)CCC(C)=O,81.0,fruity,fruity
19882,Decyl acetate,CCCCCCCCCCOC(C)=O,85.0,pineapple,fruity
19884,Glycerol 1-(5-hydroxydodecanoate),CCCCCCCC(O)CCCC(=O)OCC(O)CO,83.0,peach,fruity
19889,Heptyl 2-methylpropanoate,CCCCCCCOC(=O)C(C)C,77.0,grape,fruity
19912,Ethyl nonanoate,CCCCCCCCC(=O)OCC,81.0,fruity,fruity
19914,Ethyl octanoate,CCCCCCCC(=O)OCC,70.0,apricot,fruity
19925,Allyl 3-cyclohexylpropionate,C=CCOC(=O)CCC1CCCCC1,85.0,pineapple,fruity
19927,2-Propenyl heptanoate,C=CCOC(=O)CCCCCC,70.0,apricot,fruity
19928,Ethyl hexanoate,CCCCCC(=O)OCC,81.0,fruity,fruity
19929,2-Propenyl hexanoate,C=CCOC(=O)CCCCC,85.0,pineapple,fruity
19930,Butyl hexanoate,CCCCCC(=O)OCCCC,81.0,fruity,fruity
19932,cis-3-Hexenyl isobutyrate,CCC=CCCOC(=O)C(C)C,81.0,fruity,fruity
19937,2-Phenoxyethyl isobutyrate,CC(C)C(=O)OCCOc1ccccc1,81.0,fruity,fruity
19942,Isoamyl butyrate,CCCC(=O)OCCC(C)C,82.0,papaya,fruity
19947,2-Methyl-1-phenyl-2-propanyl butyrate,CCCC(=O)OC(C)(C)Cc1ccccc1,81.0,fruity,fruity
19962,2-Pentylthiophene,CCCCCc1cccs1,81.0,fruity,fruity
19975,Butyl isobutyrate,CCCCOC(=O)C(C)C,69.0,apple,fruity
19976,Isobutyl isobutyrate,CC(C)COC(=O)C(C)C,85.0,pineapple,fruity
19977,Propyl formate,CCCOC=O,81.0,fruity,fruity
19978,Butyl lactate,CCCCOC(=O)C(C)O,81.0,fruity,fruity
19987,Ethyl 2-(methylthio)acetate,CCOC(=O)CSC,70.0,apricot,fruity
19991,Nonyl acetate,CCCCCCCCCOC(C)=O,81.0,fruity,fruity
19993,Ethyl 3-oxo-3-phenylpropanoate,CCOC(=O)CC(=O)c1ccccc1,81.0,fruity,fruity
19997,2-Butylfuran,CCCCc1ccco1,81.0,fruity,fruity
20001,Ethyl aconitate,CCOC(=O)C=C(CC(=O)O)C(=O)O,81.0,fruity,fruity
20008,Geranyl valerate,CCCCC(=O)OCC=C(C)CCC=C(C)C,81.0,fruity,fruity
20009,Neryl formate,CC(C)=CCCC(C)=CCOC=O,81.0,fruity,fruity
20013,"Methyl (4E)-4,7-octadienoate",C=CCC=CCCC(=O)OC,81.0,fruity,fruity
20014,Benzyl cinnamate,O=C(C=Cc1ccccc1)OCc1ccccc1,70.0,apricot,fruity
20022,Octyl benzoate,CCCCCCCCOC(=O)c1ccccc1,81.0,fruity,fruity
20024,Butyl pentanoate,CCCCOC(=O)CCCC,69.0,apple,fruity
20025,Propyl pentanoate,CCCCC(=O)OCCC,81.0,fruity,fruity
20026,Ethyl pentanoate,CCCCC(=O)OCC,81.0,fruity,fruity
20057,Pentyl formate,CCCCCOC=O,81.0,fruity,fruity
20094,"1,2-Dimethoxy-4-vinylbenzene",C=Cc1ccc(OC)c(OC)c1,81.0,fruity,fruity
20150,Ethyl 3-phenylpropanoate,CCOC(=O)CCc1ccccc1,81.0,fruity,fruity
20152,Ethyl 3-(methylthio)propanoate,CCOC(=O)CCSC,85.0,pineapple,fruity
20164,Ethyl 2-benzylacetoacetate,CCOC(=O)C(Cc1ccccc1)C(C)=O,81.0,fruity,fruity
20165,Propyl phenylacetate,CCCOC(=O)Cc1ccccc1,70.0,apricot,fruity
20169,Diethyl decanedioate,CCOC(=O)CCCCCCCCC(=O)OCC,87.0,quince,fruity
20170,Isopropyl hexanoate,CCCCCC(=O)OC(C)C,81.0,fruity,fruity
20172,"1,1-Dimethoxyheptane",CCCCCCC(OC)OC,81.0,fruity,fruity
20173,Ethyl levulinate,CCOC(=O)CCC(C)=O,81.0,fruity,fruity
20205,Benzyl acetoacetate,CC(=O)CC(=O)OCc1ccccc1,81.0,fruity,fruity
20206,Butyl acetoacetate,CCCCOC(=O)CC(C)=O,81.0,fruity,fruity
20220,4-Methylbenzyl alcohol acetate,CC(=O)OCc1ccc(C)cc1,81.0,fruity,fruity
20304,3-Methylbutyl pentanoate,CCCCC(=O)OCCC(C)C,69.0,apple,fruity
20361,Butyl formate,CCCCOC=O,86.0,plum,fruity
20366,Cinnamyl formate,O=COCC=Cc1ccccc1,81.0,fruity,fruity
20371,(Z)-6-Nonen-1-ol,CCC=CCCCCCO,73.0,cantaloupe,fruity
20373,2-Methylpropyl benzoate,CC(C)COC(=O)c1ccccc1,81.0,fruity,fruity
20382,Allyl butyrate,C=CCOC(=O)CCC,70.0,apricot,fruity
20383,Allyl benzoate,C=CCOC(=O)c1ccccc1,74.0,cherry,fruity
20387,2-Propenyl octanoate,C=CCOC(=O)CCCCCCC,71.0,banana,fruity
20388,Furaneol,Cc1oc(C)c(O)c1O,77.0,grape,fruity
20389,Allyl cyclohexylacetate,C=CCOC(=O)CC1CCCCC1,81.0,fruity,fruity
20553,Ethyl lactate,CCOC(=O)C(C)O,90.0,tart,fruity
20882,beta-Cyclocitral,CC1=C(C=O)C(C)(C)CCC1,81.0,fruity,fruity
21126,Allyl cinnamate,C=CCOC(=O)C=Cc1ccccc1,83.0,peach,fruity
21127,Dibutyl decanedioate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,81.0,fruity,fruity
21233,Methyl 2-(methylthio)butyrate,CCC(SC)C(=O)OC,81.0,fruity,fruity
21242,Cinnamyl propionate,CCC(=O)OCC=Cc1ccccc1,81.0,fruity,fruity
21243,Cinnamyl butyrate,CCCC(=O)OCC=Cc1ccccc1,81.0,fruity,fruity
21244,Cinnamyl isobutyrate,CC(C)C(=O)OCC=Cc1ccccc1,81.0,fruity,fruity
21245,Cinnamyl isovalerate,CC(C)CC(=O)OCC=Cc1ccccc1,74.0,cherry,fruity
21246,Cinnamyl anthranilate,Nc1ccccc1C(=O)OCC=Cc1ccccc1,81.0,fruity,fruity
21254,(Dimethoxymethyl)benzene,COC(OC)c1ccccc1,81.0,fruity,fruity
21276,"2,3-Diethyl-5-methylpyrazine",CCc1ncc(C)nc1CC,81.0,fruity,fruity
21353,Dihydro-2-methyl-3(2H)-thiophenone,CC1SCCC1=O,81.0,fruity,fruity
21410,Dicyclohexyl disulfide,C1CCC(SSC2CCCCC2)CC1,72.0,berry,fruity
21453,"4-(3,4-Methylenedioxyphenyl)-2-butanone",CC(=O)CCc1ccc2c(c1)OCO2,88.0,raspberry,fruity
21454,3-Benzyl-4-heptanone,CCCC(=O)C(CC)Cc1ccccc1,81.0,fruity,fruity
21459,Benzyl formate,O=COCc1ccccc1,70.0,apricot,fruity
21556,Butyl heptanoate,CCCCCCC(=O)OCCCC,69.0,apple,fruity
21911,Ethyl (±)-3-hydroxyoctanoate,CCCCCC(O)CC(=O)OCC,81.0,fruity,fruity
21917,Propyleneglycol diacetate,CC(=O)OCC(C)OC(C)=O,81.0,fruity,fruity
22100,Methylacetoacetic acid,COC(=O)CC(C)=O,81.0,fruity,fruity
29824,benzylmethyl ether,COCc1ccccc1,81.0,fruity,fruity
29850,pentyl 2-methylbutyrate,CCCCCOC(=O)C(C)CC,69.0,apple,fruity
29879,2-methyl chinoxaline,Cc1cnc2ccccc2n1,81.0,fruity,fruity
29889,heptyl 2-methylbutyrate,CCCCCCCOC(=O)C(C)CC,69.0,apple,fruity
29904,linalyl pentanoate,C=CC(C)(CCC=C(C)C)OC(=O)CCCC,81.0,fruity,fruity
29905,"6beta,7beta,10beta-Cadina-1,4-diene",C12=C3C4C1=C1C2C3C14,81.0,fruity,fruity
29944,Diethyl maleate,CCOC(=O)C=CC(=O)OCC,71.0,banana,fruity
29946,Ethyl 2-furoate,CCOC(=O)c1ccco1,86.0,plum,fruity
31067,hexan-3-one,CCCC(=O)CC,77.0,grape,fruity
373,Prenyl acetate,CC(=O)OCC=C(C)C,30.0,lavender,floral
411,Geranyl 3-methylbutanoate,CC(C)=CCCC(C)=CCOC(=O)CC(C)C,34.0,rose,floral
412,Geranyl hexanoate,CCCCCC(=O)OCC=C(C)CCC=C(C)C,34.0,rose,floral
477,"1-(3,4-Dimethoxyphenyl)ethanone",COc1ccc(C(C)=O)cc1OC,33.0,floral,floral
744,Methyl 10-undecenoate,C=CCCCCCCCCC(=O)OC,34.0,rose,floral
826,2-(4-Methylphenyl)-2-propanol,Cc1ccc(C(C)(C)O)cc1,33.0,floral,floral
872,4-Methoxybenzaldehyde,COc1ccc(C=O)cc1,26.0,hawthorne,floral
874,2-Ethoxynaphthalene,CCOc1ccc2ccccc2c1,33.0,floral,floral
887,Cinnamyl alcohol,OCC=Cc1ccccc1,27.0,hyacinth,floral
889,Cinnamyl acetate,CC(=O)OCC=Cc1ccccc1,33.0,floral,floral
898,"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1,6-heptadien-3-one",C=CCCC(=O)C=CC1=C(C)CCCC1(C)C,33.0,floral,floral
930,3-Ethylpyridine,CCc1cccnc1,33.0,floral,floral
