COMPOUND_ID,NAME_FOOD_DB,NEW_SMILES,FLAVOR_ID,NAME_FLAVOR,FLAVOR_GROUP
10451,"Vanillin 3-(L-menthoxy)propane-1,2-diol acetal",COc1cc(C2OCC(COC3CC(C)CCC3C(C)C)O2)ccc1O,45.0,vanilla,balsamic
10502,2'-Hydroxyacetophenone,CC(=O)c1ccccc1O,44.0,sweet,balsamic
10504,4'-Methoxyacetophenone,COc1ccc(C(C)=O)cc1,39.0,caramel,balsamic
10505,4'-Hydroxyacetophenone,CC(=O)c1ccc(O)cc1,44.0,sweet,balsamic
10506,4-Hydroxybenzaldehyde,O=Cc1ccc(O)cc1,44.0,sweet,balsamic
10513,Propylparaben,CCCOC(=O)c1ccc(O)cc1,44.0,sweet,balsamic
10529,Zingerone,COc1cc(CCC(C)=O)ccc1O,44.0,sweet,balsamic
10530,Dehydrozingerone,COc1cc(C=CC(C)=O)ccc1O,44.0,sweet,balsamic
10531,2'-Hydroxy-5'-methylacetophenone,CC(=O)c1cc(C)ccc1O,44.0,sweet,balsamic
10542,4-Vinylphenol,C=Cc1ccc(O)cc1,44.0,sweet,balsamic
10551,4'-Methylacetophenone,CC(=O)c1ccc(C)cc1,44.0,sweet,balsamic
10553,4-Methylbiphenyl,Cc1ccc(-c2ccccc2)cc1,36.0,anise,balsamic
10554,3-(4-Methoxyphenyl)-2-propenal,COc1ccc(C=CC=O)cc1,44.0,sweet,balsamic
10555,"3,4-Methylenedioxybenzaldehyde",O=Cc1ccc2c(c1)OCO2,44.0,sweet,balsamic
10557,Piperonyl acetate,CC(=O)OCc1ccc2c(c1)OCO2,44.0,sweet,balsamic
10561,Methyl phenylacetate,COC(=O)Cc1ccccc1,44.0,sweet,balsamic
10562,Ethyl phenylacetate,CCOC(=O)Cc1ccccc1,44.0,sweet,balsamic
10563,1-Phenylethanol,CC(O)c1ccccc1,44.0,sweet,balsamic
10572,1-Methoxy-4-propylbenzene,CCCc1ccc(OC)cc1,44.0,sweet,balsamic
10589,4-Methoxybenzoic acid,COc1ccc(C(=O)O)cc1,44.0,sweet,balsamic
10590,Methyl 4-methoxybenzoate,COC(=O)c1ccc(OC)cc1,36.0,anise,balsamic
10856,Hexyl formate,CCCCCCOC=O,44.0,sweet,balsamic
10875,1-(4-Methoxyphenyl)-2-propanone,COc1ccc(CC(C)=O)cc1,44.0,sweet,balsamic
10900,2-Furanmethanethiol,SCc1ccco1,40.0,chocolate,balsamic
10903,3-(2-Furanyl)-2-propenal,O=CC=Cc1ccco1,45.0,vanilla,balsamic
10906,Ethyl 2-furanpropionate,CCOC(=O)CCc1ccco1,44.0,sweet,balsamic
10952,2-Acetylthiazole,CC(=O)c1nccs1,40.0,chocolate,balsamic
10955,Furaneol acetate,CC(=O)Oc1c(C)oc(C)c1O,39.0,caramel,balsamic
10960,"2,3-Dimethylpyrazine",Cc1nccnc1C,39.0,caramel,balsamic
10993,5-Methyl-2-furancarboxaldehyde,Cc1ccc(C=O)o1,39.0,caramel,balsamic
11059,Tiglic alcohol glucoside,CC=C(C)COC1OC(CO)C(O)C(O)C1O,44.0,sweet,balsamic
11101,(R)-Higenamine,Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1,44.0,sweet,balsamic
11114,Methylpyrazine,Cc1cnccn1,40.0,chocolate,balsamic
11130,2-Acetylfuran,CC(=O)c1ccco1,44.0,sweet,balsamic
11131,4-(2-Furanyl)-3-buten-2-one,CC(=O)C=Cc1ccco1,44.0,sweet,balsamic
11134,3-Acetylpyridine,CC(=O)c1cccnc1,44.0,sweet,balsamic
11163,Trimethylthiazole,Cc1nc(C)c(C)s1,40.0,chocolate,balsamic
11165,Methoxypyrazine,COc1cnccn1,44.0,sweet,balsamic
11168,2-Propanoylthiophene,CCC(=O)c1cccs1,39.0,caramel,balsamic
11218,6-Decanolide,CCCCC1CCCCC(=O)O1,44.0,sweet,balsamic
11275,Phenylmethyl benzeneacetate,O=C(Cc1ccccc1)OCc1ccccc1,42.0,honey,balsamic
11404,Citronellyl formate,CC(C)=CCCC(C)CCOC=O,42.0,honey,balsamic
11413,3-Methylbutyl benzoate,CC(C)CCOC(=O)c1ccccc1,44.0,sweet,balsamic
11415,2-(4-Methylphenyl)propanal,Cc1ccc(C(C)C=O)cc1,44.0,sweet,balsamic
11420,3-Phenylpropyl acetate,CC(=O)OCCCc1ccccc1,44.0,sweet,balsamic
11523,Geranyl benzoate,CC(C)=CCCC(C)=CCOC(=O)c1ccccc1,44.0,sweet,balsamic
11614,3-Octen-2-one,CCCC=CCC(C)=O,44.0,sweet,balsamic
11669,Ethyl anthranilate,CCOC(=O)c1ccccc1N,44.0,sweet,balsamic
11675,Safrole,C=CCc1ccc2c(c1)OCO2,44.0,sweet,balsamic
11685,4-(4-Methoxyphenyl)-2-butanone,COc1ccc(CCC(C)=O)cc1,44.0,sweet,balsamic
11711,Hexyl butyrate,CCCCCCOC(=O)CCC,44.0,sweet,balsamic
11811,Acetoin acetate,CC(=O)OC(C)C(C)=O,44.0,sweet,balsamic
11838,3-Phenylpropanal,O=CCCc1ccccc1,40.0,chocolate,balsamic
11846,4-(4-Hydroxyphenyl)-2-butanone,CC(=O)CCc1ccc(O)cc1,44.0,sweet,balsamic
11847,Undecylenic acid,C=CCCCCCCCCC(=O)O,44.0,sweet,balsamic
11863,Homofureanol,CCc1oc(C)c(O)c1O,39.0,caramel,balsamic
11880,Ethyl 2-methylbutyrate,CCOC(=O)C(C)CC,44.0,sweet,balsamic
11901,4-Methoxybenzyl acetate,COc1ccc(COC(C)=O)cc1,45.0,vanilla,balsamic
11908,Ethyl N-methylanthranilate,CCOC(=O)c1ccccc1NC,44.0,sweet,balsamic
11916,2-Methoxybenzaldehyde,COc1ccccc1C=O,44.0,sweet,balsamic
11933,"2,3-Butanedione",CC(=O)C(C)=O,44.0,sweet,balsamic
11950,Ethyl dodecanoate,CCCCCCCCCCCC(=O)OCC,44.0,sweet,balsamic
11995,"2,6-Di-tert-butyl-4-methylphenol",Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,45.0,vanilla,balsamic
12003,Cinnamyl cinnamate,O=C(C=Cc1ccccc1)OCC=Cc1ccccc1,41.0,cinnamon,balsamic
12004,Methyl cinnamate,COC(=O)C=Cc1ccccc1,41.0,cinnamon,balsamic
12005,Ethyl cinnamate,CCOC(=O)C=Cc1ccccc1,42.0,honey,balsamic
12011,Indole,c1ccc2[nH]ccc2c1,42.0,honey,balsamic
12014,Dimethyl succinate,COC(=O)CCC(=O)OC,44.0,sweet,balsamic
12015,Diethyl succinate,CCOC(=O)CCC(=O)OCC,40.0,chocolate,balsamic
12041,"2,2,6-Trimethylcyclohexanone",CC1CCCC(C)(C)C1=O,42.0,honey,balsamic
12044,1-Hydroxy-2-propanone,CC(=O)CO,44.0,sweet,balsamic
12055,Cinnamic acid,O=C(O)C=Cc1ccccc1,41.0,cinnamon,balsamic
12057,3-Phenyl-2-propenenitrile,N#CC=Cc1ccccc1,41.0,cinnamon,balsamic
12058,Acetovanillone,COc1cc(C(C)=O)ccc1O,45.0,vanilla,balsamic
12087,Methyl butyrate,CCCC(=O)OC,44.0,sweet,balsamic
12093,Methoxybenzene,COc1ccccc1,36.0,anise,balsamic
12109,Acetophenone,CC(=O)c1ccccc1,44.0,sweet,balsamic
12155,2-Phenylethanol,OCCc1ccccc1,42.0,honey,balsamic
12156,2-Phenylethyl acetate,CC(=O)OCCc1ccccc1,42.0,honey,balsamic
12174,Eugenol,C=CCc1ccc(O)c(OC)c1,42.0,honey,balsamic
12191,3-Phenyl-1-propanol,OCCCc1ccccc1,41.0,cinnamon,balsamic
12200,Ethyl benzoate,CCOC(=O)c1ccccc1,36.0,anise,balsamic
12201,Methyl benzoate,COC(=O)c1ccccc1,44.0,sweet,balsamic
12204,4-Ethoxybenzaldehyde,CCOc1ccc(C=O)cc1,44.0,sweet,balsamic
12241,Phenylacetaldehyde,O=CCc1ccccc1,42.0,honey,balsamic
12299,Isosafrole,CC=Cc1ccc2c(c1)OCO2,44.0,sweet,balsamic
12354,1-Decanol,CCCCCCCCCCO,44.0,sweet,balsamic
12395,1-Methoxy-4-(2-propenyl)benzene,C=CCc1ccc(OC)cc1,36.0,anise,balsamic
12396,Aceteugenol,C=CCc1ccc(OC(C)=O)c(OC)c1,44.0,sweet,balsamic
12408,Nonyl octanoate,CCCCCCCCCOC(=O)CCCCCCC,44.0,sweet,balsamic
12411,Octyl propanoate,CCCCCCCCOC(=O)CC,44.0,sweet,balsamic
12418,Octyl 3-methylbutanoate,CCCCCCCCOC(=O)CC(C)C,42.0,honey,balsamic
12438,Ethyl tetradecanoate,CCCCCCCCCCCCCC(=O)OCC,44.0,sweet,balsamic
12447,Acetyl tributyl citrate,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,44.0,sweet,balsamic
12450,2-Methylpropyl butanoate,CCCC(=O)OCC(C)C,44.0,sweet,balsamic
12451,Pentyl butanoate,CCCCCOC(=O)CCC,44.0,sweet,balsamic
12453,3-Methylbutyl propanoate,CCC(=O)OCCC(C)C,44.0,sweet,balsamic
12454,Propyl hexanoate,CCCCCC(=O)OCCC,44.0,sweet,balsamic
12455,2-Methylbutyl acetate,CCC(C)COC(C)=O,44.0,sweet,balsamic
12457,Toluene,Cc1ccccc1,44.0,sweet,balsamic
12458,Methyl N-methylanthranilate,CNc1ccccc1C(=O)OC,44.0,sweet,balsamic
12459,2-Hydroxybenzaldehyde,O=Cc1ccccc1O,41.0,cinnamon,balsamic
12476,3-Methylcyclopentadecanone,CC1CCCCCCCCCCCCC(=O)C1,44.0,sweet,balsamic
12544,Mesifurane,COc1c(C)oc(C)c1O,39.0,caramel,balsamic
12553,1-Propanethiol,CCCS,44.0,sweet,balsamic
12554,2-Methylpropyl propanoate,CCC(=O)OCC(C)C,44.0,sweet,balsamic
12556,4-Hydroxybenzyl alcohol,OCc1ccc(O)cc1,44.0,sweet,balsamic
12557,4-Methoxybenzyl alcohol,COc1ccc(CO)cc1,39.0,caramel,balsamic
12560,Isoquinoline,c1ccc2cnccc2c1,44.0,sweet,balsamic
12561,2-Furanmethanol,OCc1ccco1,44.0,sweet,balsamic
12562,Furfuryl acetate,CC(=O)OCc1ccco1,44.0,sweet,balsamic
